Key,File,Type,UsedInMainMenu,NoTranslate,english,russian
plantedCorn3HarvestSel2Desc,blocks,Farming,,,[FFA927]Adv. Selective[-] Corn,[FFA927]Прод. Селекционная[-] Кукуруза
plantedGraceCorn1Sel1,blocks,Farming,,,[9DEF5D]Selective[-] Super Corn (seed),[9DEF5D]Селекционная[-] Суперкукуруза (семя)
plantedGraceCorn2Sel1,blocks,Farming,,,[9DEF5D]Selective[-] Super Corn (growing),[9DEF5D]Селекционная[-] Суперкукуруза (растёт)
plantedGraceCorn3HarvestPlayerSel1,blocks,Farming,,,[9DEF5D]Selective[-] Super Corn (grown),[9DEF5D]Селекционная[-] Суперкукуруза (выросло)
plantedGraceCorn3HarvestSel1Desc,blocks,Farming,,,[9DEF5D]Selective[-] Super Corn,[9DEF5D]Селекционная[-] Суперкукуруза
plantedGraceCorn1Sel2,blocks,Farming,,,[FFA927]Adv. Selective[-] Super Corn (seed),[FFA927]Прод. Селекционная[-] Суперкукуруза (семя)
plantedGraceCorn2Sel2,blocks,Farming,,,[FFA927]Adv. Selective[-] Super Corn (growing),[FFA927]Прод. Селекционная[-] Суперкукуруза (растёт)
plantedGraceCorn3HarvestPlayerSel2,blocks,Farming,,,[FFA927]Adv. Selective[-] Super Corn (grown),[FFA927]Прод. Селекционная[-] Суперкукуруза (выросло)
plantedGraceCorn3HarvestSel2Desc,blocks,Farming,,,[FFA927]Adv. Selective[-] Super Corn,[FFA927]Прод. Селекционная[-] Суперкукуруза
plantedUtopiaBioSeed1,blocks,Farming,,,[9DEF5D]Utopia GMO Seedling[-] (Sprout),[9DEF5D]ГМО-Саженец «Утопия»[-] (Росток)
plantedUtopiaBioSeed3Harvest,blocks,Farming,,,[FFD700]Utopia GMO Seedling[-] (Harvest),[FFD700]ГМО-Саженец «Утопия»[-] (Урожай)
plantedUtopiaBioSeedDesc,blocks,Farming,,,"A hybrid agricultural seedling assembled from the same crop matrix as the first Money Tree, but without the cash component. Grows into a universal food tree in about 120 minutes and is used as the base material for Protocol Eden.\n\n[FF8800]⚙ Fixed harvest:[-] yields exactly [FFD700]10[-] of each crop. [AAAAAA]No bonuses, perks, buffs, mods, or items affect the harvest amount.[-]\n\nPlant the seedling in the ground to grow the tree and collect the harvest.","Гибридный аграрный саженец, собранный по той же матрице культур, что и Денежное Дерево Ур.1, но без cash-компонента. Вырастает в универсальное пищевое дерево примерно за 120 минут и служит базовым материалом для Протокола «Эдем».\n\n[FF8800]⚙ Фиксированный урожай:[-] выдаёт ровно [FFD700]10[-] каждой культуры. [AAAAAA]Никакие бонусы, перки, баффы, модификации или предметы не влияют на количество урожая.[-]\n\nПосадите саженец на земле, чтобы вырастить дерево и собрать урожай."
plantedUtopiaBioSeed3HarvestDesc,blocks,Farming,,,"[FFD700]Utopia Tree is ripe![-] Harvest of all 13 crops is ready. After harvesting, the trunk retreats back into the root and sprouts again.\n\n[FF8800]⚙ Fixed harvest:[-] exactly [FFD700]10[-] of each crop. [AAAAAA]No bonuses affect the yield.[-]",[FFD700]Дерево Утопия созрело![-] Урожай всех 13 культур ждёт сбора. После сбора урожая ствол уходит в корень и прорастает снова.\n\n[FF8800]⚙ Фиксированный урожай:[-] ровно [FFD700]10[-] каждой культуры. [AAAAAA]Бонусы не влияют на количество.[-]
plantedProtocolEden1,blocks,Farming,,,[C084FC]Protocol «Eden»[-] (Sprout),[C084FC]Протокол «Эдем»[-] (Росток)
plantedProtocolEden2Harvest,blocks,Farming,,,[FF00FF]Protocol «Eden»[-] (Harvest),[FF00FF]Протокол «Эдем»[-] (Урожай)
plantedProtocolEden1Desc,blocks,Farming,,,"An advanced cultivation protocol built on the Money Tree Lv.1 recipe with a denser crop matrix and three Utopia seedlings. Grows into a high-yield Eden tree in about 90 minutes and is intended for large-scale farming.\n\n[FF8800]⚙ Fixed harvest:[-] yields exactly [FFD700]100[-] of each crop. [AAAAAA]No bonuses, perks, buffs, mods, or items affect the harvest amount.[-]\n\nPlant the seedling in the ground to grow the tree and collect the harvest.","Продвинутый протокол культивации, собранный на базе рецепта Денежного Дерева Ур.1 с более плотной матрицей культур и тремя саженцами «Утопия». Вырастает в высокоурожайное дерево Эдема примерно за 90 минут и рассчитан на крупное фермерство.\n\n[FF8800]⚙ Фиксированный урожай:[-] выдаёт ровно [FFD700]100[-] каждой культуры. [AAAAAA]Никакие бонусы, перки, баффы, модификации или предметы не влияют на количество урожая.[-]\n\nПосадите саженец на земле, чтобы вырастить дерево и собрать урожай."
plantedProtocolEden2HarvestDesc,blocks,Farming,,,"[FF00FF]Eden Tree is ripe![-] Maximum harvest of all 13 crops is ready. After harvesting, the trunk retreats back into the root and sprouts again.\n\n[FF8800]⚙ Fixed harvest:[-] exactly [FFD700]100[-] of each crop. [AAAAAA]No bonuses affect the yield.[-]",[FF00FF]Дерево Эдема созрело![-] Максимальный урожай всех 13 культур ждёт сбора. После сбора урожая ствол уходит в корень и прорастает снова.\n\n[FF8800]⚙ Фиксированный урожай:[-] ровно [FFD700]100[-] каждой культуры. [AAAAAA]Бонусы не влияют на количество.[-]
plantedHop1Sel1,blocks,Farming,,,[9DEF5D]Selective[-] Hops (seed),[9DEF5D]Селекционный[-] Хмель (семя)
plantedHop2Sel1,blocks,Farming,,,[9DEF5D]Selective[-] Hops (growing),[9DEF5D]Селекционный[-] Хмель (растёт)
plantedHop3HarvestPlayerSel1Desc,blocks,Farming,,,[9DEF5D]Selective[-] Hops,[9DEF5D]Селекционный[-] Хмель
plantedHop1Sel2,blocks,Farming,,,[FFA927]Adv. Selective[-] Hops (seed),[FFA927]Прод. Селекционный[-] Хмель (семя)
plantedHop2Sel2,blocks,Farming,,,[FFA927]Adv. Selective[-] Hops (growing),[FFA927]Прод. Селекционный[-] Хмель (растёт)
plantedHop3HarvestPlayerSel2Desc,blocks,Farming,,,[FFA927]Adv. Selective[-] Hops,[FFA927]Прод. Селекционный[-] Хмель
plantedPumpkin1Sel1,blocks,Farming,,,[9DEF5D]Selective[-] Pumpkin (seed),[9DEF5D]Селекционная[-] Тыква (семя)
plantedPumpkin2Sel1,blocks,Farming,,,[9DEF5D]Selective[-] Pumpkin (growing),[9DEF5D]Селекционная[-] Тыква (растёт)
plantedPumpkin3HarvestPlayerSel1Desc,blocks,Farming,,,[9DEF5D]Selective[-] Pumpkin,[9DEF5D]Селекционная[-] Тыква
plantedPumpkin1Sel2,blocks,Farming,,,[FFA927]Adv. Selective[-] Pumpkin (seed),[FFA927]Прод. Селекционная[-] Тыква (семя)
plantedPumpkin2Sel2,blocks,Farming,,,[FFA927]Adv. Selective[-] Pumpkin (growing),[FFA927]Прод. Селекционная[-] Тыква (растёт)
plantedPumpkin3HarvestPlayerSel2Desc,blocks,Farming,,,[FFA927]Adv. Selective[-] Pumpkin,[FFA927]Прод. Селекционная[-] Тыква
elevatorDoor_Powered,blocks,Block,,,Elevator Door (powered),Дверь лифта (подключ.)
elevatorDoorDouble_Powered,blocks,Block,,,Double Elevator Door (powered),Двойная дверь лифта (подключ.)
elevatorDoor_PoweredDesc,blocks,Block,,,"To activate this door, connect it to a power source.\n\nPress and hold '[action:local:Activate][action:permanent:Activate]' to close or set an access combination. Repair with forged steel and a building tool.","Для активации этой двери подключите её к источнику энергии.\n\nНажмите и удерживайте «[action:local:Activate][action:permanent:Activate]», чтобы закрыть или установить комбинацию для доступа. Ремонтируйте с помощью кованой стали и строительного инструмента."
perkSiphoningStrikesRank1LongDesc,progression,perk For,,,[AAAAAA]The scent of first blood in battle invigorates you.\nMelee kills with a [DECEA3]{cvar(.HealthStealChance:0)}%[-] chance grant 4 HP.[-],[AAAAAA]Запах первой крови в битве бодрит вас.\nУбийства в ближнем бою с шансом [DECEA3]{cvar(.HealthStealChance:0)}%[-] дают 4 ОЗ.[-]
perkSiphoningStrikesRank2LongDesc,progression,perk For,,,[AAAAAA]The scent of first blood in battle invigorates you.\nMelee kills with a [DECEA3]{cvar(.HealthStealChance:0)}%[-] chance grant 8 HP.[-],[AAAAAA]Запах первой крови в битве бодрит вас.\nУбийства в ближнем бою с шансом [DECEA3]{cvar(.HealthStealChance:0)}%[-] дают 8 ОЗ.[-]
perkSiphoningStrikesRank3LongDesc,progression,perk For,,,[AAAAAA]The scent of first blood in battle invigorates you.\nMelee kills with a [DECEA3]{cvar(.HealthStealChance:0)}%[-] chance grant 12 HP.[-],[AAAAAA]Запах первой крови в битве бодрит вас.\nУбийства в ближнем бою с шансом [DECEA3]{cvar(.HealthStealChance:0)}%[-] дают 12 ОЗ.[-]
perkSiphoningStrikesRank4LongDesc,progression,perk For,,,[AAAAAA]The scent of first blood in battle invigorates you.\nMelee kills with a [DECEA3]{cvar(.HealthStealChance:0)}%[-] chance grant 16 HP.[-],[AAAAAA]Запах первой крови в битве бодрит вас.\nУбийства в ближнем бою с шансом [DECEA3]{cvar(.HealthStealChance:0)}%[-] дают 16 ОЗ.[-]
perkSiphoningStrikesRank5LongDesc,progression,perk For,,,[AAAAAA]The scent of first blood in battle invigorates you.\nMelee kills with a [DECEA3]{cvar(.HealthStealChance:0)}%[-] chance grant 20 HP.[-],[AAAAAA]Запах первой крови в битве бодрит вас.\nУбийства в ближнем бою с шансом [DECEA3]{cvar(.HealthStealChance:0)}%[-] дают 20 ОЗ.[-]
attpasssiveskills,progression,Attribute,,,[DECEA3]⏱ Passive Skills[-],[DECEA3]⏱ Пассивные навыки[-]
attpasssiveskillsDesc,progression,Attribute,,,[AAAAAA]No skill points required here.[-] Complete passive skill requirements to level them up.,[AAAAAA]Здесь не требуются очки навыков.[-] Выполняйте требования пассивных навыков для повышения их уровня.
skillAdaptationName,progression,Skills,,,[DECEA3]⏱ Adaptation[-],[DECEA3]⏱ Адаптация[-]
reqPerkGameAuto,progression,Attribute,,,Levels up automatically (1 hour of gameplay = 1 level),Повышается автоматически (1 час игры = 1 уровень)
reqPerkForestAuto,progression,Attribute,,,Levels up automatically (1 hour in forest = 1 level),Повышается автоматически (1 час в лесу = 1 уровень)
reqPerkBurntAuto,progression,Attribute,,,Levels up automatically (1 hour in burnt forest = 1 level),Повышается автоматически (1 час в горелом лесу = 1 уровень)
reqPerkDesertAuto,progression,Attribute,,,Levels up automatically (1 hour in desert = 1 level),Повышается автоматически (1 час в пустыне = 1 уровень)
reqPerkWinterAuto,progression,Attribute,,,Levels up automatically (1 hour in snow = 1 level),Повышается автоматически (1 час в снегу = 1 уровень)
reqPerkWastelandAuto,progression,Attribute,,,Levels up automatically (1 hour in wasteland = 1 level),Повышается автоматически (1 час в пустоши = 1 уровень)
reqPerkSniperExpertAuto,progression,Attribute,,,Levels up automatically (100 sniper rifle kills = 1 level),Повышается автоматически (100 убийств из снайперки = 1 уровень)
reqPerkShotgunExpertAuto,progression,Attribute,,,Levels up automatically (100 shotgun kills = 1 level),Повышается автоматически (100 убийств из дробовика = 1 уровень)
reqPerkAutomaticWeaponExpertAuto,progression,Attribute,,,Levels up automatically (100 automatic weapon kills = 1 level),Повышается автоматически (100 убийств из автомата = 1 уровень)
reqPerkPistolExpertAuto,progression,Attribute,,,Levels up automatically (100 pistol kills = 1 level),Повышается автоматически (100 убийств из пистолета = 1 уровень)
reqPerkBowsExpertAuto,progression,Attribute,,,Levels up automatically (100 bow kills = 1 level),Повышается автоматически (100 убийств из лука = 1 уровень)
reqPerkRoboticsExpertAuto,progression,Attribute,,,Levels up automatically (100 turret kills = 1 level),Повышается автоматически (100 убийств турелями = 1 уровень)
reqPerkMeleeHeavyExpertAuto,progression,Attribute,,,Levels up automatically (100 heavy melee kills = 1 level),Повышается автоматически (100 убийств тяжёлым оружием = 1 уровень)
reqPerkMeleeLightExpertAuto,progression,Attribute,,,Levels up automatically (100 light melee kills = 1 level),Повышается автоматически (100 убийств лёгким оружием = 1 уровень)
reqPerkTotalHuntAuto,progression,Attribute,,,Levels up automatically (100 kills = 1 level),Повышается автоматически (100 убийств = 1 уровень)
reqPerkNightHuntAuto,progression,Attribute,,,Levels up automatically (100 night kills = 1 level),Повышается автоматически (100 ночных убийств = 1 уровень)
reqPerkBullsEyeAuto,progression,Attribute,,,Levels up automatically (100 headshots = 1 level),Повышается автоматически (100 хедшотов = 1 уровень)
reqPerkRangeHuntAuto,progression,Attribute,,,Levels up automatically (100 ranged weapon kills = 1 level),Повышается автоматически (100 убийств дальнобойным оружием = 1 уровень)
reqPerkMeleeHuntAuto,progression,Attribute,,,Levels up automatically (100 melee kills = 1 level),Повышается автоматически (100 убийств ближним оружием = 1 уровень)
reqPerkEliteHuntAuto,progression,Attribute,,,Levels up automatically (100 elite zombie kills = 1 level),Повышается автоматически (100 убийств элитных зомби = 1 уровень)
reqPerkDevourerAuto,progression,Attribute,,,Levels up automatically (10 Devourer kills = 1 level),Повышается автоматически (10 убийств Пожирателя = 1 уровень)
reqPerkGargulAuto,progression,Attribute,,,Levels up automatically (10 Gargul kills = 1 level),Повышается автоматически (10 убийств Гаргула = 1 уровень)
reqPerkBearDaddyAuto,progression,Attribute,,,Levels up automatically (10 Bear Daddy kills = 1 level),Повышается автоматически (10 убийств Папочки = 1 уровень)
reqPerkBitchAuto,progression,Attribute,,,Levels up automatically (10 Bitch kills = 1 level),Повышается автоматически (10 убийств Стервы = 1 уровень)
reqPerkBurningFleshAuto,progression,Attribute,,,Levels up automatically (10 Burning Flesh kills = 1 level),Повышается автоматически (10 убийств Горящей Плоти = 1 уровень)
reqPerkCholeraAuto,progression,Attribute,,,Levels up automatically (10 Cholera kills = 1 level),Повышается автоматически (10 убийств Холеры = 1 уровень)
reqPerkBullAuto,progression,Attribute,,,Levels up automatically (10 Bull kills = 1 level),Повышается автоматически (10 убийств Быка = 1 уровень)
reqPerkShockerAuto,progression,Attribute,,,Levels up automatically (10 Shocker kills = 1 level),Повышается автоматически (10 убийств Шокера = 1 уровень)
reqPerkVeteranAuto,progression,Attribute,,,Levels up automatically (10 Veteran kills = 1 level),Повышается автоматически (10 убийств Ветерана = 1 уровень)
reqPerkCarrierAuto,progression,Attribute,,,Levels up automatically (10 Carrier kills = 1 level),Повышается автоматически (10 убийств Носителя = 1 уровень)
reqPerkDoomsdayAuto,progression,Attribute,,,Levels up automatically (10 Doomsday kills = 1 level),Повышается автоматически (10 убийств Думсдэя = 1 уровень)
reqPerkPovelitelAuto,progression,Attribute,,,Levels up automatically (10 Overlord kills = 1 level),Повышается автоматически (10 убийств Повелителя = 1 уровень)
reqPerkWorldsAuto,progression,Attribute,,,Levels up automatically (10 World-Eater kills = 1 level),Повышается автоматически (10 убийств Пожирателя Миров = 1 уровень)
reqPerkQuintessaAuto,progression,Attribute,,,Levels up automatically (10 Quintessa kills = 1 level),Повышается автоматически (10 убийств Квинтессы = 1 уровень)
reqPerkNovaAuto,progression,Attribute,,,Levels up automatically (10 Nova kills = 1 level),Повышается автоматически (10 убийств Новы = 1 уровень)
perkGameTimerName,progression,perk,,,[DECEA3]✦ Total Time -[-] {cvar(passiveLvlGameTimer:0)} lvl,[DECEA3]✦ Общее время[-] - {cvar(passiveLvlGameTimer:0)} лвл
perkGameTimerDesc,progression,perk,,,[FFFF00]Levels up passively for total time in game[-]\n+1 level for every 60 minutes of gameplay.\n\n[DECEA3]Current level: {cvar(passiveLvlGameTimer:0)}[-]\n[DECEA3]Progress: {cvar(TimerGame_MM:0)} of 60 minutes[-]\n[DECEA3]Total time: {cvar(TimerGame_HH:0)}h {cvar(TimerGame_MM:0)}m[-],[FFFF00]Прокачивается пассивно за общее время в игре[-]\n+1 уровень за каждые 60 минут игрового времени.\n\n[DECEA3]Текущий уровень: {cvar(passiveLvlGameTimer:0)}[-]\n[DECEA3]Прогресс: {cvar(TimerGame_MM:0)} из 60 минут[-]\n[DECEA3]Общее время: {cvar(TimerGame_HH:0)}ч {cvar(TimerGame_MM:0)}м[-]
Game_LevelUP,UI,Tooltip,,,Passive skill leveled up: Total Time,Повышен пассивный навык: Общее время
reqPerkGame101Plus,progression,Attribute,,, {cvar(TimerGame_HH:0)} of 1000,{cvar(TimerGame_HH:0)} из 1000
skillWeaponExpertName,progression,Skills,,,[FF6600]⚔ Weapon Expert[-],[FF6600]⚔ Эксперт по оружию[-]
SniperExpert_LevelUP,UI,Tooltip,,,Passive skill leveled up: Godlike Sniper,Повышен пассивный навык: Снайпер от бога
perkShotgunExpertName,progression,perk,,,[FF6600]✦ Shotgun Expert -[-] {cvar(passiveLvlShotgunExpert:0)} lvl,[FF6600]✦ Эксперт дробовиков[-] - {cvar(passiveLvlShotgunExpert:0)} лвл
perkShotgunExpertDesc,progression,perk,,,[FFFF00]Levels up passively with shotgun kills[-]\n+1 level for every 100 kills.\n\n[DECEA3]Current level: {cvar(passiveLvlShotgunExpert:0)}[-]\n[DECEA3]Progress: {cvar(CountShotgunExpert:0)} of 100 kills[-],[FFFF00]Прокачивается пассивно при убийствах из дробовиков[-]\n+1 уровень за каждые 100 убийств.\n\n[DECEA3]Текущий уровень: {cvar(passiveLvlShotgunExpert:0)}[-]\n[DECEA3]Прогресс: {cvar(CountShotgunExpert:0)} из 100 убийств[-]
ShotgunExpert_LevelUP,UI,Tooltip,,,Passive skill leveled up: Shotgun Expert,Повышен пассивный навык: Эксперт дробовиков
perkAutomaticWeaponExpertName,progression,perk,,,[FF6600]✦ Rambo -[-] {cvar(passiveLvlAutoWeaponExpert:0)} lvl,[FF6600]✦ Рэмбо[-] - {cvar(passiveLvlAutoWeaponExpert:0)} лвл
perkAutomaticWeaponExpertDesc,progression,perk,,,[FFFF00]Levels up passively with automatic weapon kills[-]\n+1 level for every 100 kills.\n\n[DECEA3]Current level: {cvar(passiveLvlAutoWeaponExpert:0)}[-]\n[DECEA3]Progress: {cvar(CountAutomaticWeaponExpert:0)} of 100 kills[-],[FFFF00]Прокачивается пассивно при убийствах из автоматического оружия[-]\n+1 уровень за каждые 100 убийств.\n\n[DECEA3]Текущий уровень: {cvar(passiveLvlAutoWeaponExpert:0)}[-]\n[DECEA3]Прогресс: {cvar(CountAutomaticWeaponExpert:0)} из 100 убийств[-]
AutomaticWeaponExpert_LevelUP,UI,Tooltip,,,Passive skill leveled up: Rambo,Повышен пассивный навык: Рэмбо
perkPistolExpertName,progression,perk,,,[FF6600]✦ Western Gunslinger -[-] {cvar(passiveLvlPistolExpert:0)} lvl,[FF6600]✦ Стрелок с запада[-] - {cvar(passiveLvlPistolExpert:0)} лвл
perkPistolExpertDesc,progression,perk,,,[FFFF00]Levels up passively with pistol kills[-]\n+1 level for every 100 kills.\n\n[DECEA3]Current level: {cvar(passiveLvlPistolExpert:0)}[-]\n[DECEA3]Progress: {cvar(CountPistolExpert:0)} of 100 kills[-],[FFFF00]Прокачивается пассивно при убийствах из пистолетов[-]\n+1 уровень за каждые 100 убийств.\n\n[DECEA3]Текущий уровень: {cvar(passiveLvlPistolExpert:0)}[-]\n[DECEA3]Прогресс: {cvar(CountPistolExpert:0)} из 100 убийств[-]
PistolExpert_LevelUP,UI,Tooltip,,,Passive skill leveled up: Western Gunslinger,Повышен пассивный навык: Стрелок с запада
perkBowsExpertName,progression,perk,,,[FF6600]✦ Robin Hood -[-] {cvar(passiveLvlBowsExpert:0)} lvl,[FF6600]✦ Робин Гуд[-] - {cvar(passiveLvlBowsExpert:0)} лвл
perkBowsExpertDesc,progression,perk,,,[FFFF00]Levels up passively with bow and crossbow kills[-]\n+1 level for every 100 kills.\n\n[DECEA3]Current level: {cvar(passiveLvlBowsExpert:0)}[-]\n[DECEA3]Progress: {cvar(CountBowsExpert:0)} of 100 kills[-],[FFFF00]Прокачивается пассивно при убийствах из луков и арбалетов[-]\n+1 уровень за каждые 100 убийств.\n\n[DECEA3]Текущий уровень: {cvar(passiveLvlBowsExpert:0)}[-]\n[DECEA3]Прогресс: {cvar(CountBowsExpert:0)} из 100 убийств[-]
BowsExpert_LevelUP,UI,Tooltip,,,Passive skill leveled up: Robin Hood,Повышен пассивный навык: Робин Гуд
perkRoboticsExpertName,progression,perk,,,[FF6600]✦ Technophile -[-] {cvar(passiveLvlRoboticsExpert:0)} lvl,[FF6600]✦ Технофанат[-] - {cvar(passiveLvlRoboticsExpert:0)} лвл
perkRoboticsExpertDesc,progression,perk,,,[FFFF00]Levels up passively with turret kills[-]\n+1 level for every 100 kills.\n\n[DECEA3]Current level: {cvar(passiveLvlRoboticsExpert:0)}[-]\n[DECEA3]Progress: {cvar(CountRoboticsExpert:0)} of 100 kills[-],[FFFF00]Прокачивается пассивно при убийствах турелями[-]\n+1 уровень за каждые 100 убийств.\n\n[DECEA3]Текущий уровень: {cvar(passiveLvlRoboticsExpert:0)}[-]\n[DECEA3]Прогресс: {cvar(CountRoboticsExpert:0)} из 100 убийств[-]
RoboticsExpert_LevelUP,UI,Tooltip,,,Passive skill leveled up: Technophile,Повышен пассивный навык: Технофанат
perkMeleeHeavyExpertName,progression,perk,,,[FF6600]✦ Berserker -[-] {cvar(passiveLvlMeleeHeavyExpert:0)} lvl,[FF6600]✦ Берсерк[-] - {cvar(passiveLvlMeleeHeavyExpert:0)} лвл
perkMeleeHeavyExpertDesc,progression,perk,,,"[FFFF00]Levels up passively with heavy melee weapon kills[-]\nSpears, clubs, sledgehammers.\n+1 level for every 100 kills.\n\n[DECEA3]Current level: {cvar(passiveLvlMeleeHeavyExpert:0)}[-]\n[DECEA3]Progress: {cvar(CountMeleeHeavyExpert:0)} of 100 kills[-]","[FFFF00]Прокачивается пассивно при убийствах тяжёлым ближним оружием[-]\nКопья, булавы, кувалды.\n+1 уровень за каждые 100 убийств.\n\n[DECEA3]Текущий уровень: {cvar(passiveLvlMeleeHeavyExpert:0)}[-]\n[DECEA3]Прогресс: {cvar(CountMeleeHeavyExpert:0)} из 100 убийств[-]"
MeleeHeavyExpert_LevelUP,UI,Tooltip,,,Passive skill leveled up: Berserker,Повышен пассивный навык: Берсерк
perkMeleeLightExpertName,progression,perk,,,[FF6600]✦ Slasher -[-] {cvar(passiveLvlMeleeLightExpert:0)} lvl,[FF6600]✦ Чикатило[-] - {cvar(passiveLvlMeleeLightExpert:0)} лвл
perkMeleeLightExpertDesc,progression,perk,,,"[FFFF00]Levels up passively with light melee weapon kills[-]\nClubs, knives, stun batons.\n+1 level for every 100 kills.\n\n[DECEA3]Current level: {cvar(passiveLvlMeleeLightExpert:0)}[-]\n[DECEA3]Progress: {cvar(CountMeleeLightExpert:0)} of 100 kills[-]","[FFFF00]Прокачивается пассивно при убийствах лёгким ближним оружием[-]\nДубинки, ножи, электрошокеры.\n+1 уровень за каждые 100 убийств.\n\n[DECEA3]Текущий уровень: {cvar(passiveLvlMeleeLightExpert:0)}[-]\n[DECEA3]Прогресс: {cvar(CountMeleeLightExpert:0)} из 100 убийств[-]"
MeleeLightExpert_LevelUP,UI,Tooltip,,,Passive skill leveled up: Slasher,Повышен пассивный навык: Чикатило
skillDeadHuntName,progression,Skills,,,[FF0000]☠ Undead Hunt[-],[FF0000]☠ Охота на нежить[-]
perkTotalHuntName,progression,perk,,,[FF0000]☠ Head Hunter -[-] {cvar(passiveLvlTotalHunt:0)} lvl,[FF0000]☠ Охота за головами[-] - {cvar(passiveLvlTotalHunt:0)} лвл
perkTotalHuntDesc,progression,perk,,,[FFFF00]Levels up passively with any kills[-]\n+1 level for every 100 kills.\n\n[DECEA3]Current level: {cvar(passiveLvlTotalHunt:0)}[-]\n[DECEA3]Progress: {cvar(CountTotalHunt:0)} of 100 kills[-],[FFFF00]Прокачивается пассивно при любых убийствах[-]\n+1 уровень за каждые 100 убийств.\n\n[DECEA3]Текущий уровень: {cvar(passiveLvlTotalHunt:0)}[-]\n[DECEA3]Прогресс: {cvar(CountTotalHunt:0)} из 100 убийств[-]
TotalHunt_LevelUP,UI,Tooltip,,,Passive skill leveled up: Head Hunter,Повышен пассивный навык: Охота за головами
perkNightHuntName,progression,perk,,,[FF0000]☠ Night Killer -[-] {cvar(passiveLvlNightHunt:0)} lvl,[FF0000]☠ Ночной убийца[-] - {cvar(passiveLvlNightHunt:0)} лвл
perkNightHuntDesc,progression,perk,,,[FFFF00]Levels up passively with night kills[-]\n+1 level for every 100 night kills.\n\n[DECEA3]Current level: {cvar(passiveLvlNightHunt:0)}[-]\n[DECEA3]Progress: {cvar(CountNightHunt:0)} of 100 kills[-],[FFFF00]Прокачивается пассивно при убийствах ночью[-]\n+1 уровень за каждые 100 ночных убийств.\n\n[DECEA3]Текущий уровень: {cvar(passiveLvlNightHunt:0)}[-]\n[DECEA3]Прогресс: {cvar(CountNightHunt:0)} из 100 убийств[-]
NightHunt_LevelUP,UI,Tooltip,,,Passive skill leveled up: Night Killer,Повышен пассивный навык: Ночной убийца
perkBullsEyeName,progression,perk,,,[FF0000]✦ Bullseye -[-] {cvar(passiveLvlBullsEye:0)} lvl,[FF0000]✦ В яблочко[-] - {cvar(passiveLvlBullsEye:0)} лвл
perkBullsEyeDesc,progression,perk,,,[FFFF00]Levels up passively with headshot kills[-]\n+1 level for every 100 headshots.\n\n[DECEA3]Current level: {cvar(passiveLvlBullsEye:0)}[-]\n[DECEA3]Progress: {cvar(CountBullsEye:0)} of 100 headshots[-],[FFFF00]Прокачивается пассивно при убийствах попаданием в голову[-]\n+1 уровень за каждые 100 хедшотов.\n\n[DECEA3]Текущий уровень: {cvar(passiveLvlBullsEye:0)}[-]\n[DECEA3]Прогресс: {cvar(CountBullsEye:0)} из 100 хедшотов[-]
BullsEye_LevelUP,UI,Tooltip,,,Passive skill leveled up: Bullseye,Повышен пассивный навык: В яблочко
perkRangeHuntName,progression,perk,,,[FF0000]✦ Death's Reach -[-] {cvar(passiveLvlRangeHunt:0)} lvl,[FF0000]✦ На расстоянии смерти[-] - {cvar(passiveLvlRangeHunt:0)} лвл
perkRangeHuntDesc,progression,perk,,,[FFFF00]Levels up passively with ranged weapon kills[-]\n+1 level for every 100 kills.\n\n[DECEA3]Current level: {cvar(passiveLvlRangeHunt:0)}[-]\n[DECEA3]Progress: {cvar(CountRangeHunt:0)} of 100 kills[-],[FFFF00]Прокачивается пассивно при убийствах дальнобойным оружием[-]\n+1 уровень за каждые 100 убийств.\n\n[DECEA3]Текущий уровень: {cvar(passiveLvlRangeHunt:0)}[-]\n[DECEA3]Прогресс: {cvar(CountRangeHunt:0)} из 100 убийств[-]
RangeHunt_LevelUP,UI,Tooltip,,,Passive skill leveled up: Death's Reach,Повышен пассивный навык: На расстоянии смерти
perkMeleeHuntName,progression,perk,,,[FF0000]✦ Butcher -[-] {cvar(passiveLvlMeleeHunt:0)} lvl,[FF0000]✦ Мясник[-] - {cvar(passiveLvlMeleeHunt:0)} лвл
perkMeleeHuntDesc,progression,perk,,,[FFFF00]Levels up passively with melee kills[-]\n+1 level for every 100 kills.\n\n[DECEA3]Current level: {cvar(passiveLvlMeleeHunt:0)}[-]\n[DECEA3]Progress: {cvar(CountMeleeHunt:0)} of 100 kills[-],[FFFF00]Прокачивается пассивно при убийствах ближним оружием[-]\n+1 уровень за каждые 100 убийств.\n\n[DECEA3]Текущий уровень: {cvar(passiveLvlMeleeHunt:0)}[-]\n[DECEA3]Прогресс: {cvar(CountMeleeHunt:0)} из 100 убийств[-]
MeleeHunt_LevelUP,UI,Tooltip,,,Passive skill leveled up: Butcher,Повышен пассивный навык: Мясник
perkEliteHuntName,progression,perk,,,[FF0000]☠ Best of the Worst -[-] {cvar(passiveLvlEliteHunt:0)} lvl,[FF0000]☠ Лучшие из худших[-] - {cvar(passiveLvlEliteHunt:0)} лвл
